date,Nft,isPartial
2020-11-15,1,False
2020-11-22,1,False
2020-11-29,1,False
2020-12-06,1,False
2020-12-13,1,False
2020-12-20,1,False
2020-12-27,1,False
2021-01-03,1,False
2021-01-10,1,False
2021-01-17,1,False
2021-01-24,2,False
2021-01-31,3,False
2021-02-07,2,False
2021-02-14,7,False
2021-02-21,16,False
2021-02-28,32,False
2021-03-07,55,False
2021-03-14,55,False
2021-03-21,56,False
2021-03-28,49,False
2021-04-04,40,False
2021-04-11,37,False
2021-04-18,32,False
2021-04-25,51,False
2021-05-02,36,False
2021-05-09,30,False
2021-05-16,25,False
2021-05-23,26,False
2021-05-30,19,False
2021-06-06,19,False
2021-06-13,17,False
2021-06-20,17,False
2021-06-27,15,False
2021-07-04,14,False
2021-07-11,17,False
2021-07-18,17,False
2021-07-25,20,False
2021-08-01,23,False
2021-08-08,33,False
2021-08-15,31,False
2021-08-22,57,False
2021-08-29,70,False
2021-09-05,56,False
2021-09-12,47,False
2021-09-19,48,False
2021-09-26,46,False
2021-10-03,52,False
2021-10-10,61,False
2021-10-17,63,False
2021-10-24,76,False
2021-10-31,99,False
2021-11-07,100,True
